#1
double	Flow(34, 5)
0	0	0	0	0
30	0	0	0	0
30	0.063	0	0	0
40	0.063	0	0	0
40	0	0	0	0
70	0	0	0	0
70	0.063	0	0	0
80	0.063	0	0	0
80	0	0	0	0
110	0	0	0	0
110	0.063	0	0	0
120	0.063	0	0	0
120	0	0	0	0
150	0	0	0	0
150	0.063	0	0	0
160	0.063	0	0	0
160	0	0	0	0
460	0	0	0	0
460	0	0.0945	0	0
2260	0	0.0945	0	0
2260	0	0	0	0
31000	0	0	0	0
31000	0	0	0.126	0
31900	0	0	0.126	0
31900	0	0	0	0
32000	0	0	0	0
32000	0	0	0	0.04725
32300	0	0	0	0.04725
32300	0	0	0	0
48000	0	0	0	0
48000	0.063	0.04725	0.126	0.04725
51600	0.063	0.04725	0.126	0.04725
51600	0	0	0	0
55000	0	0	0	0






